symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,pnl_pct,reason
INJUSDT,LONG,2026-05-17 16:00:00,4.749,2026-05-22 16:00:00,5.613883593070683,41.900000000000006,36.23862254966163,18.211909729852245,TAKEPROFIT
RENDERUSDT,LONG,2026-05-22 00:00:00,1.9737,2026-05-22 16:00:00,1.898730423699426,189.4,-14.199237751328715,-3.7984281451372546,STOPLOSS
SOLUSDT,SHORT,2026-05-23 04:00:00,82.19,2026-05-23 16:00:00,84.82131397916616,5.5,-14.47222688541391,-3.201501373848602,STOPLOSS
JUPUSDT,SHORT,2026-05-22 20:00:00,0.19904,2026-05-23 20:00:00,0.21074769409317154,1241.0,-14.529248369625886,-5.8820810355564435,STOPLOSS
GRTUSDT,LONG,2026-05-25 04:00:00,0.02629,2026-05-26 12:00:00,0.029438673558055968,11843.0,37.28974094805682,11.97669668336237,TAKEPROFIT
GRTUSDT,LONG,2026-05-27 04:00:00,0.02854,2026-05-28 00:00:00,0.02683208181903334,8582.0,-14.657353829055886,-5.984296359378631,STOPLOSS
INJUSDT,LONG,2026-05-25 04:00:00,5.249,2026-05-29 04:00:00,6.27860700659302,35.800000000000004,36.859930836030145,19.61529827763423,TAKEPROFIT
SEIUSDT,LONG,2026-05-28 04:00:00,0.06868,2026-05-29 12:00:00,0.06458696884319669,3527.0,-14.4361208900453,-5.95956778800716,STOPLOSS
BTCUSDT,SHORT,2026-05-21 08:00:00,77159.5,2026-06-01 12:00:00,71761.71193324093,0.011,59.375668734349716,6.995623438149631,TAKEPROFIT
LTCUSDT,SHORT,2026-05-17 20:00:00,54.55,2026-06-02 00:00:00,49.85893010990146,9.950000000000001,46.67614540648047,8.599578167000073,TAKEPROFIT
BNBUSDT,LONG,2026-06-01 16:00:00,695.8,2026-06-02 12:00:00,665.6962012602991,0.52,-15.653975344644465,-4.326501687223469,STOPLOSS
JUPUSDT,LONG,2026-06-02 08:00:00,0.20512,2026-06-02 12:00:00,0.1920396773082857,1251.0,-16.363483687334593,-6.3769123887062715,STOPLOSS
OPUSDT,SHORT,2026-05-29 16:00:00,0.11917,2026-06-03 04:00:00,0.12656199159511686,1998.8000000000002,-14.77511280031958,-6.202896362437576,STOPLOSS
NEARUSDT,LONG,2026-06-02 16:00:00,2.6278,2026-06-04 08:00:00,2.359546558885649,59.2,-15.8806037139696,-10.20828986659378,STOPLOSS
SUIUSDT,SHORT,2026-05-29 16:00:00,0.9041,2026-06-05 00:00:00,0.7365795332064606,298.1,49.93785115115409,18.528975422358076,TAKEPROFIT
WLDUSDT,LONG,2026-06-04 12:00:00,0.5899,2026-06-05 00:00:00,0.5054235047034505,182.60000000000002,-15.425408041149929,-14.320477249796483,STOPLOSS
ONDOUSDT,LONG,2026-06-04 12:00:00,0.3821,2026-06-05 12:00:00,0.3411576345900827,376.70000000000005,-15.42298904991585,-10.715091706337951,STOPLOSS
TIAUSDT,SHORT,2026-06-05 04:00:00,0.3198,2026-06-13 12:00:00,0.35473805626943694,456.3,-15.942235075744088,-10.924970690880855,STOPLOSS
DOTUSDT,SHORT,2026-06-04 20:00:00,1.0369,2026-06-15 20:00:00,1.0184,203.0,3.755499999999992,1.7841643360015393,BACKTEST_END
ARBUSDT,SHORT,2026-06-05 04:00:00,0.08405,2026-06-15 20:00:00,0.08615,2190.0,-4.59900000000001,-2.4985127900059543,BACKTEST_END
WLDUSDT,LONG,2026-06-07 00:00:00,0.4483,2026-06-15 20:00:00,0.6093,172.8,27.8208,35.91345081418692,BACKTEST_END
ATOMUSDT,LONG,2026-06-14 16:00:00,1.9784,2026-06-15 20:00:00,1.953,207.60000000000002,-5.273039999999973,-1.2838657501010853,BACKTEST_END
